04-06-2023	12:17:51 	 4902762e-9fda-4a4f-8b22-2582b5a0574d 	 GET 	 undefined 	 /index.html 
04-10-2023	11:02:30 	 beb6fd54-69d1-46ec-83a7-432b2d49cdcf 	 POST 	 undefined 	 /employee 
04-10-2023	11:03:20 	 c52e35d7-9a7e-4502-b980-a2a5a614a2d5 	 POST 	 undefined 	 /employee 
04-10-2023	11:03:22 	 ca21933b-82ab-4699-80db-3bf5f47516bb 	 POST 	 undefined 	 /employee 
04-10-2023	11:03:39 	 65a362cf-7bfc-45ec-b96c-943097003e57 	 POST 	 undefined 	 /employee 
04-10-2023	11:05:49 	 bf314a00-e8cc-4d27-99a0-86358c826f11 	 POST 	 undefined 	 /employee 
04-10-2023	11:06:23 	 03e5601c-1454-4d7f-9b3a-c0f2fa2b3797 	 POST 	 undefined 	 /employee 
04-10-2023	11:06:58 	 97a1725e-b69e-461c-91d9-4fc063277573 	 POST 	 undefined 	 /employee 
04-10-2023	11:09:02 	 5f506980-3330-4454-874d-bc7c3805ee55 	 POST 	 undefined 	 /employee 
04-10-2023	11:09:10 	 b6a769a4-710e-43e7-8bb0-4f556bf7c70f 	 POST 	 undefined 	 /employee 
04-10-2023	11:09:29 	 bead1480-0bfb-4db2-bb69-d23fe6ff8e6b 	 POST 	 undefined 	 /employee 
04-10-2023	11:09:54 	 6ef39651-768b-43b6-866f-c66694955754 	 POST 	 undefined 	 /employee 
04-10-2023	11:10:18 	 3008dc3a-9f94-4fc3-89e5-526d0f6fbe1d 	 POST 	 undefined 	 /employee 
04-10-2023	11:12:10 	 b72b2560-a5c1-4e15-b87d-4ed78f830228 	 POST 	 undefined 	 /employee 
04-10-2023	11:12:16 	 8b70f6d8-c4a0-4674-8219-4338234df318 	 POST 	 undefined 	 /employee 
04-10-2023	11:13:44 	 043842bf-9dc3-4e3f-b597-496f2997032b 	 PUT 	 undefined 	 /employee 
04-10-2023	11:15:15 	 e25f756f-d563-4355-b175-f45d26be6f49 	 PUT 	 undefined 	 /employee 
04-10-2023	11:15:53 	 b15e42f8-9ccf-43e3-b85f-71df9d678d28 	 POST 	 undefined 	 /employees/ 
04-10-2023	11:15:58 	 d44ec09e-de09-47c0-bd87-907d296b8169 	 POST 	 undefined 	 /employee 
04-10-2023	11:16:15 	 ed647aa5-4da4-430f-a69f-4815c2407ac6 	 PUT 	 undefined 	 /employee 
04-10-2023	11:17:18 	 43b7bc22-ea06-4abf-943c-c823457ee5c3 	 PUT 	 undefined 	 /employee 
04-10-2023	11:17:31 	 e2a7eda0-88ea-49a0-9213-a3d9e1562d74 	 POST 	 undefined 	 /employee 
04-10-2023	11:17:41 	 d2e23ce7-69d3-4bd8-9b82-e0d76fc301a5 	 POST 	 undefined 	 /employee 
04-10-2023	11:17:46 	 805fa2b4-8ea2-4181-8f46-9f521a88ae62 	 PUT 	 undefined 	 /employee 
04-10-2023	11:18:06 	 55776111-9f12-44f6-b6db-b5b5e9fd85ab 	 DELETE 	 undefined 	 /employee 
04-10-2023	11:18:27 	 5927081e-bb80-4f28-8900-083c5846dbf9 	 DELETE 	 undefined 	 /employee 
04-10-2023	11:18:50 	 5d6c8c72-22c9-4fa3-af31-ac6e344dbd47 	 POST 	 undefined 	 /employee 
04-10-2023	11:19:10 	 d2276f41-866a-4cc9-aae0-19bac4b2c65b 	 DELETE 	 undefined 	 /employee 
04-10-2023	11:19:35 	 fd1bf089-b89c-45a6-ba12-ef7f5d6a7977 	 GET 	 undefined 	 /employee 
04-10-2023	11:20:28 	 8d551031-7588-45a0-9e09-385788f166e0 	 GET 	 undefined 	 /employee 
04-10-2023	11:21:12 	 5b8d0547-b0f3-4023-9995-4443d4b3518a 	 GET 	 undefined 	 /employee 
04-10-2023	11:22:02 	 3b4f6b68-a8ef-49f3-9be0-7293d2759a1c 	 GET 	 undefined 	 /employee 
04-10-2023	11:23:25 	 18644368-719b-4752-a457-3898db6a8fce 	 DELETE 	 undefined 	 /employee/ 
04-10-2023	11:24:19 	 6e33f908-358b-465e-99eb-de18960b3671 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:24:24 	 f6fa35cb-130f-4cec-9506-727ac0eccf6b 	 DELETE 	 undefined 	 /employee/ 
04-10-2023	11:24:32 	 00322acf-719f-4347-8109-2013938bfde2 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:24:38 	 ff8cb761-1f86-4659-9232-a3be05b6b0d7 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:24:48 	 f0b49561-73a3-4c1a-bf63-5b387cafc1dd 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:25:02 	 831d3f79-c51d-481c-89b3-eed1ac73af47 	 DELETE 	 undefined 	 /employee/ 
04-10-2023	11:25:15 	 30bd422c-5f0b-4249-8fa0-61923b03cae8 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:25:18 	 1f94e339-2c16-4991-a9d2-4f4424e79cd6 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:25:37 	 ee111855-5642-499b-84f7-f3deb77773c1 	 GET 	 undefined 	 /employee/ 
04-10-2023	11:25:55 	 6243c6e0-5718-477a-a18d-531a237c0219 	 GET 	 undefined 	 /employee/1 
04-10-2023	11:26:28 	 1264c1d2-b2fd-4f32-9cca-a42d88d7269a 	 GET 	 undefined 	 /employees/1 
04-10-2023	11:26:32 	 dcb69981-c14c-43d8-8e87-70888a1d93d9 	 GET 	 undefined 	 /employee/1 
04-10-2023	11:26:35 	 46e6c1f3-c72d-414c-80e0-80080d722e0b 	 GET 	 undefined 	 /employee 
04-10-2023	11:26:54 	 b38b8214-0658-4a12-9805-54351010188c 	 GET 	 undefined 	 /employees 
04-10-2023	11:28:25 	 95b41436-5ef8-4db4-b808-63ed193982af 	 GET 	 undefined 	 /employees 
04-10-2023	11:28:30 	 40f29675-01e0-4af9-9205-069b618a71b3 	 GET 	 undefined 	 /employees/1 
04-10-2023	11:29:05 	 51f0969b-f50d-4429-8420-ddccdd637dab 	 POST 	 undefined 	 /employees/ 
04-10-2023	11:29:14 	 7e1cff54-49c9-43f8-a7be-604e8f811b05 	 PUT 	 undefined 	 /employees/ 
04-10-2023	11:29:21 	 56191469-f776-4ea5-8e35-29bcd60159ec 	 PUT 	 undefined 	 /employees/ 
04-10-2023	11:29:30 	 ba489af0-5015-4172-9fbb-87c463f6474b 	 DELETE 	 undefined 	 /employees/ 
04-10-2023	11:29:35 	 494789d3-cb04-463a-bcc9-4cd0b024078e 	 GET 	 undefined 	 /employees/ 
04-10-2023	11:29:40 	 3ffe8e15-d381-4eb5-b68f-7e4351fb7ebb 	 GET 	 undefined 	 /employees/1 
04-10-2023	11:30:55 	 27d82515-b6a5-4ad7-98e1-1181622d8403 	 GET 	 undefined 	 /employee 
04-10-2023	11:30:57 	 224f93a9-89fe-48e6-8009-e084b857a637 	 GET 	 undefined 	 /employees 
04-10-2023	11:31:00 	 3bf8abae-eaf9-4796-8932-a46dc337c966 	 GET 	 undefined 	 /employees/1 
04-10-2023	11:31:56 	 d5f7e4f3-2ec6-4fa3-a2e5-aa5ab578dcf4 	 GET 	 undefined 	 /employees/1 
04-10-2023	11:31:57 	 fecfa787-24de-4598-aa3d-78c6e3eeab68 	 GET 	 undefined 	 /employees/1 
04-10-2023	11:33:28 	 27d0fa3d-02d3-411e-9642-fe16ccff750c 	 GET 	 undefined 	 /employees/1 
